norma,artigo,sigla,nome,tipo,pertence_a,fonte_url
Lei nº 13.682/2003,"Art. 1º, III",AF-STUSL,Supervisão Técnica de Uso do Solo e Licenciamentos,Supervisão,AF-CPDU,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, III",AF-STPU,Supervisão Técnica de Planejamento Urbano,Supervisão,AF-CPDU,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, III",AF-STF,Supervisão Técnica de Fiscalização,Supervisão,AF-CPDU,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, IV e V",AF-CPO,Coordenadoria de Projetos e Obras,Coordenadoria,SUB-AF,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, IV e V",AF-STPO,Supervisão Técnica de Projetos e Obras,Supervisão,AF-CPO,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, IV e V",AF-STLP,Supervisão Técnica de Limpeza Pública,Supervisão,AF-CPO,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, IV e V",AF-STM,Supervisão Técnica de Manutenção,Supervisão,AF-CPO,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Decreto nº 57.588/2017,Art. 1º,AF-CGL,Coordenadoria de Governo Local,Coordenadoria,SUB-AF,https://legislacao.prefeitura.sp.gov.br/leis/decreto-57588-de-10-de-fevereiro-de-2017
Decreto nº 57.588/2017,Art. 2º,AF-HABI,Supervisão de Habitação,Supervisão,AF-CGL,https://legislacao.prefeitura.sp.gov.br/leis/decreto-57588-de-10-de-fevereiro-de-2017
Decreto nº 57.588/2017,Art. 2º,AF-SC,Supervisão de Cultura,Supervisão,AF-CGL,https://legislacao.prefeitura.sp.gov.br/leis/decreto-57588-de-10-de-fevereiro-de-2017
Decreto nº 57.588/2017,Art. 2º,AF-SEL,Supervisão de Esportes e Lazer,Supervisão,AF-CGL,https://legislacao.prefeitura.sp.gov.br/leis/decreto-57588-de-10-de-fevereiro-de-2017
Lei nº 13.682/2003,"Art. 1º, I",BT-GAB,Gabinete do Subprefeito,Gabinete,SUB-BT,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, I",BT-AJ,Assessoria Jurídica,Assessoria,BT-GAB,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, I",BT-AC,Assessoria Executiva de Comunicação,Assessoria,BT-GAB,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, I",BT-AT,Assessoria Técnica,Assessoria,BT-GAB,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, I",BT-PAT,Praça de Atendimento ao Público,Unidade,BT-GAB,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, VIII",BT-CAF,Coordenadoria de Administração e Finanças,Coordenadoria,SUB-BT,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, VIII",BT-SAS,Supervisão de Administração e Suprimentos,Supervisão,BT-CAF,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, VIII",BT-SF,Supervisão de Finanças,Supervisão,BT-CAF,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, VIII",BT-SUGESP,Supervisão de Gestão de Pessoas,Supervisão,BT-CAF,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Sem base legal formal — núcleo administrativo,,BT-AJTI,Núcleo de Informática,Núcleo (informal),BT-CAF,https://prefeitura.sp.gov.br/web/vila_prudente/w/acesso_a_informacao/50094
Lei nº 13.682/2003,"Art. 1º, III",BT-CPDU,Coordenadoria de Planejamento e Desenvolvimento Urbano,Coordenadoria,SUB-BT,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, III",BT-STUSL,Supervisão Técnica de Uso do Solo e Licenciamentos,Supervisão,BT-CPDU,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, III",BT-STPU,Supervisão Técnica de Planejamento Urbano,Supervisão,BT-CPDU,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, III",BT-STF,Supervisão Técnica de Fiscalização,Supervisão,BT-CPDU,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, IV e V",BT-CPO,Coordenadoria de Projetos e Obras,Coordenadoria,SUB-BT,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, IV e V",BT-STPO,Supervisão Técnica de Projetos e Obras,Supervisão,BT-CPO,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, IV e V",BT-STLP,Supervisão Técnica de Limpeza Pública,Supervisão,BT-CPO,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, IV e V",BT-STM,Supervisão Técnica de Manutenção,Supervisão,BT-CPO,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Decreto nº 57.588/2017,Art. 1º,BT-CGL,Coordenadoria de Governo Local,Coordenadoria,SUB-BT,https://legislacao.prefeitura.sp.gov.br/leis/decreto-57588-de-10-de-fevereiro-de-2017
Decreto nº 57.588/2017,Art. 2º,BT-HABI,Supervisão de Habitação,Supervisão,BT-CGL,https://legislacao.prefeitura.sp.gov.br/leis/decreto-57588-de-10-de-fevereiro-de-2017
Decreto nº 57.588/2017,Art. 2º,BT-SC,Supervisão de Cultura,Supervisão,BT-CGL,https://legislacao.prefeitura.sp.gov.br/leis/decreto-57588-de-10-de-fevereiro-de-2017
Decreto nº 57.588/2017,Art. 2º,BT-SEL,Supervisão de Esportes e Lazer,Supervisão,BT-CGL,https://legislacao.prefeitura.sp.gov.br/leis/decreto-57588-de-10-de-fevereiro-de-2017
Lei nº 13.682/2003,"Art. 1º, I",CL-GAB,Gabinete do Subprefeito,Gabinete,SUB-CL,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, I",CL-AJ,Assessoria Jurídica,Assessoria,CL-GAB,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, I",CL-AC,Assessoria Executiva de Comunicação,Assessoria,CL-GAB,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, I",CL-AT,Assessoria Técnica,Assessoria,CL-GAB,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, I",CL-PAT,Praça de Atendimento ao Público,Unidade,CL-GAB,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, VIII",CL-CAF,Coordenadoria de Administração e Finanças,Coordenadoria,SUB-CL,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, VIII",CL-SAS,Supervisão de Administração e Suprimentos,Supervisão,CL-CAF,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, VIII",CL-SF,Supervisão de Finanças,Supervisão,CL-CAF,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, VIII",CL-SUGESP,Supervisão de Gestão de Pessoas,Supervisão,CL-CAF,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Sem base legal formal — núcleo administrativo,,CL-AJTI,Núcleo de Informática,Núcleo (informal),CL-CAF,https://prefeitura.sp.gov.br/web/vila_prudente/w/acesso_a_informacao/50094
Lei nº 13.682/2003,"Art. 1º, III",CL-CPDU,Coordenadoria de Planejamento e Desenvolvimento Urbano,Coordenadoria,SUB-CL,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, III",CL-STUSL,Supervisão Técnica de Uso do Solo e Licenciamentos,Supervisão,CL-CPDU,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, III",CL-STPU,Supervisão Técnica de Planejamento Urbano,Supervisão,CL-CPDU,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, III",CL-STF,Supervisão Técnica de Fiscalização,Supervisão,CL-CPDU,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, IV e V",CL-CPO,Coordenadoria de Projetos e Obras,Coordenadoria,SUB-CL,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, IV e V",CL-STPO,Supervisão Técnica de Projetos e Obras,Supervisão,CL-CPO,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, IV e V",CL-STLP,Supervisão Técnica de Limpeza Pública,Supervisão,CL-CPO,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, IV e V",CL-STM,Supervisão Técnica de Manutenção,Supervisão,CL-CPO,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Decreto nº 57.588/2017,Art. 1º,CL-CGL,Coordenadoria de Governo Local,Coordenadoria,SUB-CL,https://legislacao.prefeitura.sp.gov.br/leis/decreto-57588-de-10-de-fevereiro-de-2017
Decreto nº 57.588/2017,Art. 2º,CL-HABI,Supervisão de Habitação,Supervisão,CL-CGL,https://legislacao.prefeitura.sp.gov.br/leis/decreto-57588-de-10-de-fevereiro-de-2017
Decreto nº 57.588/2017,Art. 2º,CL-SC,Supervisão de Cultura,Supervisão,CL-CGL,https://legislacao.prefeitura.sp.gov.br/leis/decreto-57588-de-10-de-fevereiro-de-2017
Decreto nº 57.588/2017,Art. 2º,CL-SEL,Supervisão de Esportes e Lazer,Supervisão,CL-CGL,https://legislacao.prefeitura.sp.gov.br/leis/decreto-57588-de-10-de-fevereiro-de-2017
Lei nº 13.682/2003,"Art. 1º, I",CS-GAB,Gabinete do Subprefeito,Gabinete,SUB-CS,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, I",CS-AJ,Assessoria Jurídica,Assessoria,CS-GAB,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, I",CS-AC,Assessoria Executiva de Comunicação,Assessoria,CS-GAB,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, I",CS-AT,Assessoria Técnica,Assessoria,CS-GAB,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, I",CS-PAT,Praça de Atendimento ao Público,Unidade,CS-GAB,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, VIII",CS-CAF,Coordenadoria de Administração e Finanças,Coordenadoria,SUB-CS,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, VIII",CS-SAS,Supervisão de Administração e Suprimentos,Supervisão,CS-CAF,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, VIII",CS-SF,Supervisão de Finanças,Supervisão,CS-CAF,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, VIII",CS-SUGESP,Supervisão de Gestão de Pessoas,Supervisão,CS-CAF,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Sem base legal formal — núcleo administrativo,,CS-AJTI,Núcleo de Informática,Núcleo (informal),CS-CAF,https://prefeitura.sp.gov.br/web/vila_prudente/w/acesso_a_informacao/50094
Lei nº 13.682/2003,"Art. 1º, III",CS-CPDU,Coordenadoria de Planejamento e Desenvolvimento Urbano,Coordenadoria,SUB-CS,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, III",CS-STUSL,Supervisão Técnica de Uso do Solo e Licenciamentos,Supervisão,CS-CPDU,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, III",CS-STPU,Supervisão Técnica de Planejamento Urbano,Supervisão,CS-CPDU,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, III",CS-STF,Supervisão Técnica de Fiscalização,Supervisão,CS-CPDU,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, IV e V",CS-CPO,Coordenadoria de Projetos e Obras,Coordenadoria,SUB-CS,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, IV e V",CS-STPO,Supervisão Técnica de Projetos e Obras,Supervisão,CS-CPO,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, IV e V",CS-STLP,Supervisão Técnica de Limpeza Pública,Supervisão,CS-CPO,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, IV e V",CS-STM,Supervisão Técnica de Manutenção,Supervisão,CS-CPO,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Decreto nº 57.588/2017,Art. 1º,CS-CGL,Coordenadoria de Governo Local,Coordenadoria,SUB-CS,https://legislacao.prefeitura.sp.gov.br/leis/decreto-57588-de-10-de-fevereiro-de-2017
Decreto nº 57.588/2017,Art. 2º,CS-HABI,Supervisão de Habitação,Supervisão,CS-CGL,https://legislacao.prefeitura.sp.gov.br/leis/decreto-57588-de-10-de-fevereiro-de-2017
Decreto nº 57.588/2017,Art. 2º,CS-SC,Supervisão de Cultura,Supervisão,CS-CGL,https://legislacao.prefeitura.sp.gov.br/leis/decreto-57588-de-10-de-fevereiro-de-2017
Decreto nº 57.588/2017,Art. 2º,CS-SEL,Supervisão de Esportes e Lazer,Supervisão,CS-CGL,https://legislacao.prefeitura.sp.gov.br/leis/decreto-57588-de-10-de-fevereiro-de-2017
Lei nº 13.682/2003,"Art. 1º, I",CT-GAB,Gabinete do Subprefeito,Gabinete,SUB-CT,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, I",CT-AJ,Assessoria Jurídica,Assessoria,CT-GAB,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, I",CT-AC,Assessoria Executiva de Comunicação,Assessoria,CT-GAB,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, I",CT-AT,Assessoria Técnica,Assessoria,CT-GAB,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, I",CT-PAT,Praça de Atendimento ao Público,Unidade,CT-GAB,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, VIII",CT-CAF,Coordenadoria de Administração e Finanças,Coordenadoria,SUB-CT,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, VIII",CT-SAS,Supervisão de Administração e Suprimentos,Supervisão,CT-CAF,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, VIII",CT-SF,Supervisão de Finanças,Supervisão,CT-CAF,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, VIII",CT-SUGESP,Supervisão de Gestão de Pessoas,Supervisão,CT-CAF,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Sem base legal formal — núcleo administrativo,,CT-AJTI,Núcleo de Informática,Núcleo (informal),CT-CAF,https://prefeitura.sp.gov.br/web/vila_prudente/w/acesso_a_informacao/50094
Lei nº 13.682/2003,"Art. 1º, III",CT-CPDU,Coordenadoria de Planejamento e Desenvolvimento Urbano,Coordenadoria,SUB-CT,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, III",CT-STUSL,Supervisão Técnica de Uso do Solo e Licenciamentos,Supervisão,CT-CPDU,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, III",CT-STPU,Supervisão Técnica de Planejamento Urbano,Supervisão,CT-CPDU,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, III",CT-STF,Supervisão Técnica de Fiscalização,Supervisão,CT-CPDU,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, IV e V",CT-CPO,Coordenadoria de Projetos e Obras,Coordenadoria,SUB-CT,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, IV e V",CT-STPO,Supervisão Técnica de Projetos e Obras,Supervisão,CT-CPO,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, IV e V",CT-STLP,Supervisão Técnica de Limpeza Pública,Supervisão,CT-CPO,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Lei nº 13.682/2003,"Art. 1º, IV e V",CT-STM,Supervisão Técnica de Manutenção,Supervisão,CT-CPO,https://legislacao.prefeitura.sp.gov.br/leis/lei-13682-de-15-de-dezembro-de-2003
Decreto nº 57.588/2017,Art. 1º,CT-CGL,Coordenadoria de Governo Local,Coordenadoria,SUB-CT,https://legislacao.prefeitura.sp.gov.br/leis/decreto-57588-de-10-de-fevereiro-de-2017
Decreto nº 57.588/2017,Art. 2º,CT-HABI,Supervisão de Habitação,Supervisão,CT-CGL,https://legislacao.prefeitura.sp.gov.br/leis/decreto-57588-de-10-de-fevereiro-de-2017
Decreto nº 57.588/2017,Art. 2º,CT-SC,Supervisão de Cultura,Supervisão,CT-CGL,https://legislacao.prefeitura.sp.gov.br/leis/decreto-57588-de-10-de-fevereiro-de-2017
